"","x"
"1",0
"2",0.0594545454545454
"3",0.114974179377805
"4",0.166962271788303
"5",0.215776334298803
"6",0.261234552085876
"7",0.304150985059132
"8",0.344781948896203
"9",0.383360364384025
"10",0.420099109681332
"11",0.455193850460052
"12",0.488825452863739
"13",0.521162061435778
"14",0.552360907066958
"15",0.582569897075111
"16",0.611441419235833
"17",0.63961176562421
"18",0.667207307598597
"19",0.69435005981303
"20",0.721158679790404
"21",0.747749420577111
"22",0.774237053465806
"23",0.800735776629811
"24",0.827360124889824
"25",0.853665520210914
"26",0.880339458769686
"27",0.90750159037873
"28",0.935275827559175
"29",0.963791489017588
"30",0.993184547592812
"31",1.02359900691396
"32",1.05518843477648
"33",1.08811768595958
"34",1.12256485308313
"35",1.15872349140121
"36",1.19680517249742
"37",1.23704243312546
"38",1.27882303474543
"39",1.32329494625194
"40",1.37077296068654
"41",1.42161014021176
"42",1.47620431169594
"43",1.53500580247107
"44",1.59852669854815
"45",1.66735198036289
"46",1.73546149341127
"47",1.80378954361786
"48",1.87399745749136
"49",1.94587819616007
"50",2.02022032191575
"51",2.09824578337237
"52",2.17999358732387
"53",2.26567565071849
"54",2.35710835985333
"55",2.45156152978705
"56",2.54582437924733
"57",2.64300029491934
"58",2.74335027759443
"59",2.84852890769534
"60",2.95942880398587
"61",3.07700404887858
"62",3.20228867933184
"63",3.33641729463299
"64",3.47844008930733
"65",3.62668980671008
"66",3.7821045350521
"67",3.94570442370345
"68",4.11648756525256
"69",4.29805397787354
"70",4.49180360192283
"71",4.69617033135048
"72",4.913225601239
"73",5.14348424990922
"74",5.38649296355562
"75",5.64497570058464
"76",5.92117849805472
"77",6.21618528542034
"78",6.53154570101849
"79",6.86778671658939
"80",7.22770095351228
"81",7.61319975121653
"82",8.02863337539646
"83",8.4764533646254
"84",8.95933969065373
"85",9.48030595514549
"86",10.0414270064064
"87",10.6476618318698
"88",11.3012921307395
"89",12.0064500691044
"90",12.7738142163897
"91",13.6081769339763
"92",14.5140765905689
"93",15.4951103605752
"94",16.5650791904887
"95",17.7324716375362
"96",19.0131781622039
"97",20.4149708571261
"98",21.9525947977296
"99",23.6442603370051
"100",25.507125834451
"101",27.5608828378525
"102",29.8297721286663
"103",32.3412234256346
"104",35.1212036994478
"105",38.1965896137547
"106",41.6010087914137
"107",45.3793021550597
"108",49.5715614158168
"109",54.224866040248
"110",59.3816057081482
"111",65.1088551155471
"112",71.4629313368902
"113",78.509782577493
"114",86.3330910638267
"115",95.0016622308802
"116",104.600778481053
"117",115.222265204723
"118",126.981558393612
"119",139.97139913104
"120",154.304386012357
"121",170.093128471719
"122",187.491116262553
"123",206.592390156241
"124",227.539486823661
"125",250.490497402399
"126",275.580354440797
"127",302.985273474261
"128",332.789459145414
"129",365.125735981411
"130",400.114125755738
"131",437.986619518025
"132",478.824298844485
"133",522.784178013253
"134",569.953175752689
"135",620.430601229332
"136",674.312593638249
"137",731.656570607058
"138",792.498984029704
"139",856.79789602189
"140",924.627961704408
"141",995.823025033571
"142",1070.44939229287
"143",1148.34378114515
"144",1229.44162714518
"145",1313.59026618287
"146",1400.78656508751
"147",1490.90608362766
"148",1583.68730260118
"149",1678.89675605275
"150",1776.42919081748
"151",1876.1233654338
"152",1977.61887668389
"153",2080.95289743241
"154",2185.71338597717
"155",2291.45720101039
"156",2398.18262780079
"157",2505.6721693663
"158",2613.61965254076
"159",2721.95674692225
"160",2830.18138790685
"161",2938.16667739661
"162",3045.60025864508
"163",3152.35299631041
"164",3258.08430380335
"165",3362.65263968307
"166",3465.9029963815
"167",3567.29324132654
"168",3666.92346732002
"169",3764.54112773872
"170",3860.12957263901
"171",3953.42100532501
"172",4044.33786711441
"173",4132.6037558941
"174",4218.07168963714
"175",4300.65341286448
"176",4380.02013451413
"177",4456.47608760876
"178",4529.72218297781
"179",4599.58422223002
"180",4666.04861656976
"181",4729.075283413
"182",4788.49851316622
"183",4844.12300830073
"184",4896.05399290603
"185",4944.28339134634
"186",4988.81937842142
"187",5029.44473950953
"188",5066.32771777277
"189",5099.53588871734
"190",5128.93045713203
"191",5154.42192503492
"192",5176.16296639479
"193",5194.19297887567
"194",5208.36504054457
"195",5218.84703879183
"196",5225.73288241407
"197",5228.97163223074
"198",5228.77636107833
"199",5225.16275743874
"200",5218.16893575387
"201",5207.99173539687
"202",5194.64769380487
"203",5178.11732157295
"204",5158.52049844815
"205",5135.98830985492
"206",5110.66756667959
"207",5082.621891434
"208",5051.94246424472
"209",5018.73061599402
"210",4983.01995048161
"211",4945.03076350439
"212",4904.8265550278
"213",4862.62529179078
"214",4818.45499253904
"215",4772.5299474361
"216",4724.84703466533
"217",4675.42623469889
"218",4624.41729613645
"219",4571.86481159599
"220",4517.92563801725
"221",4462.48493214976
"222",4405.66287659205
"223",4347.58625032505
"224",4288.36864960394
"225",4227.98434614375
"226",4166.49270889947
"227",4103.94187567257
"228",4040.4568283746
"229",3976.08280768147
"230",3910.96439334502
"231",3845.22007806944
"232",3778.9315649243
"233",3712.21959319126
"234",3645.2241027834
"235",3577.9924452988
"236",3510.65816347208
"237",3443.30921276545
"238",3375.96129143501
"239",3308.75993501615
"240",3241.88716056469
"241",3175.36347882363
"242",3109.27190861532
"243",3043.70618888286
"244",2978.6663545099
"245",2914.21745298618
"246",2850.37188837938
"247",2787.24511557205
"248",2724.86442086837
"249",2663.25303171424
"250",2602.46719658836
"251",2542.52662775885
"252",2483.43115601901
"253",2425.18651863288
"254",2367.84342705791
"255",2311.42810514157
"256",2255.9540618045
"257",2201.43028297068
"258",2147.86000983071
"259",2095.25211892562
"260",2043.60380383753
"261",1992.90910458781
"262",1943.18531244118
"263",1894.4141433364
"264",1846.6005973528
"265",1799.75067329783
"266",1753.85476336273
"267",1708.90611167701
"268",1664.9100671144
"269",1621.84161450246
"270",1579.68242553407
"271",1538.44941667022
"272",1498.14018565625
"273",1458.73930348176
"274",1420.24039355591
"275",1382.60618731263
"276",1345.81526184001
"277",1309.87546769698
"278",1274.77420003464
"279",1240.5043619986
"280",1207.0361469222
"281",1174.3747505554
"282",1142.50506123185
"283",1111.41635809943
"284",1081.09274472584
"285",1051.51266056808
"286",1022.65771264265
"287",994.52590525251
"288",967.101518911381
"289",940.36766025648
"290",914.319406105758
"291",888.940965645252
"292",864.214564653409
"293",840.124971573356
"294",816.653623827138
"295",793.795778857966
"296",771.535546347524
"297",749.857319346865
"298",728.743068253151
"299",708.191082949194
"300",688.187666625571
