"","Substrate_series","Enzyme_series","Decayrates_series","Enz_rate"
"",1472924,0,0,30
"1",1472922.21987346,0.118909090909091,1.78012653577156,30
"2",1472918.81761891,0.227269975279609,3.40225455793719,30
"3",1472913.93033787,0.32648538686108,4.8872810374955,30
"4",1472907.67765429,0.417727739538283,6.25268358105018,30
"5",1472900.17825632,0.501062868873646,7.49939796540176,30
"6",1472891.52335481,0.578328690724119,8.65490151242456,30
"7",1472881.79330087,0.650252376608796,9.73005393662543,30
"8",1472871.0589626,0.717468607234989,10.7343382770662,30
"9",1472859.38285395,0.780536279592092,11.6761086507095,30
"10",1472846.82006763,0.839951725295017,12.5627863181155,30
"11",1472833.41905068,0.896159310424744,13.4010169470835,30
"12",1472819.22225228,0.949560046741229,14.1967984004212,30
"13",1472804.26666638,1.0005186772667,14.9555859028604,30
"14",1472788.58428668,1.04936958164811,15.6823797007531,30
"15",1472772.2198564,1.09525927831545,16.364430272569,30
"16",1472755.20246962,1.13923422704786,17.0173867812033,30
"17",1472737.5563301,1.18162148286323,17.6461395181695,30
"18",1472719.30108963,1.22272568304852,18.2552404791743,30
"19",1472700.45211965,1.26283352681947,18.8489699717519,30
"20",1472681.02072422,1.30221773425901,19.4313954334848,30
"21",1472661.01429977,1.34114061906259,20.0064244539879,30
"22",1472640.43644612,1.37985738642372,20.5778536479603,30
"23",1472619.28703133,1.41861925120467,21.1494147844703,30
"24",1472597.57555581,1.45678111518814,21.7114755204372,30
"25",1472575.29418584,1.49550685096579,22.2813699689043,30
"26",1472552.43133085,1.53505065950337,22.8628549913712,30
"27",1472528.97206084,1.5756392070199,23.4592700152793,30
"28",1472504.89813227,1.61749791376471,24.0739285723273,30
"29",1472480.18782245,1.66086386300042,24.7103098185018,30
"30",1472454.81572437,1.70598852750123,25.3720980716651,30
"31",1472428.75249766,1.75314080347018,26.0632267190049,30
"32",1472401.96457014,1.80261042348283,26.7879275172442,30
"33",1472374.41378365,1.85471183296076,27.5507864901992,30
"34",1472346.05697579,1.90978863097562,28.3568078578059,30
"35",1472316.84548807,1.96821869671724,29.2114877196919,30
"36",1472286.72458849,2.03042014881339,30.1208995798149,30
"37",1472255.65344855,2.09546534582865,31.0711399368151,30
"38",1472223.5632156,2.16525417235425,32.0902329531649,30
"39",1472190.37665451,2.24036594937148,33.1865610925678,30
"40",1472156.00705924,2.32145598256023,34.3695952709497,30
"41",1472120.35696923,2.40926926168356,35.6500900045954,30
"42",1472083.31665146,2.50465693843649,37.0403177687588,30
"43",1472044.76229955,2.60859625142924,38.5543519162363,30
"44",1472004.55388954,2.72221474828915,40.2084100110531,30
"45",1471962.53261685,2.84681989148696,42.0212726917785,30
"46",1471918.5178194,2.98393544504024,44.0147974412958,30
"47",1471872.30326716,3.13534644918306,46.2145522438895,30
"48",1471823.92026652,3.28317736156922,48.3830006450774,30
"49",1471773.32205603,3.43415722052821,50.5982104851159,30
"50",1471720.46793195,3.58811412768629,52.8541240839745,30
"51",1471665.24744494,3.74981765830968,55.2204870085339,30
"52",1471607.54076366,3.91996409335469,57.7066812803917,30
"53",1471547.19631729,4.10075272603458,60.3444463707883,30
"54",1471484.01265377,4.29560817918895,63.1836635115794,30
"55",1471417.75501011,4.50686279962565,66.2576436606781,30
"56",1471348.51901137,4.70945840926239,69.2359987435922,30
"57",1471276.1951049,4.91954457798503,72.323906469678,30
"58",1471200.65866398,5.13840790033948,75.5364409252989,30
"59",1471121.72509964,5.37015250327113,78.933564336065,30
"60",1471039.16924557,5.61759413856686,82.5558540671834,30
"61",1470952.72205985,5.8837844764038,86.4471857218351,30
"62",1470862.06611673,6.17209652041327,90.6559431231585,30
"63",1470766.8515247,6.48449633509309,95.2145920316625,30
"64",1470666.81997727,6.81212292559065,100.031547423178,30
"65",1470561.72351086,7.15656054385119,105.096466414806,30
"66",1470451.2608549,7.52170451486065,110.462655958125,30
"67",1470335.06279952,7.91219306393788,116.198055379005,30
"68",1470212.77367108,8.32728914742312,122.289128443007,30
"69",1470083.91077756,8.77577557154956,128.862893521795,30
"70",1469947.89974172,9.26373545599544,136.011035837444,30
"71",1469804.23653874,9.78676497674763,143.663202976884,30
"72",1469652.32574035,10.3495791071287,151.910798391425,30
"73",1469491.58727719,10.9489981783989,160.738463159053,30
"74",1469321.30660644,11.5967550964257,170.280670747517,30
"75",1469140.65612106,12.3009185395222,180.650485378414,30
"76",1468948.75461621,13.0660567756924,191.901504851429,30
"77",1468744.6944477,13.8927295723753,204.060168518468,30
"78",1468527.4294824,14.7905830953171,217.264965299575,30
"79",1468295.7192276,15.7735101721651,231.710254792606,30
"80",1468048.24223402,16.8465676585481,247.47699358228,30
"81",1467783.41353635,18.024530284308,264.82869767438,30
"82",1467499.49514836,19.3197705276289,283.918387981393,30
"83",1467194.598914,20.7426172392444,304.896234367814,30
"84",1466866.62233943,22.3084419879121,327.976574570021,30
"85",1466513.11626687,24.0405007468114,353.50607255346,30
"86",1466131.39551091,25.9542973780527,381.720755964188,30
"87",1465718.38508787,28.0775284455065,413.010423042996,30
"88",1465270.52342813,30.4432091760136,447.861659739399,30
"89",1464783.81563339,33.0779457110592,486.707794733835,30
"90",1464253.69644131,36.022510903555,530.119192082956,30
"91",1463674.89699916,39.3256473494775,578.79944214607,30
"92",1463041.34381238,43.0414281329875,633.553186779321,30
"93",1462346.13462165,47.2277765832421,695.20919073754,30
"94",1461581.2526534,51.9589491325805,764.881968245534,30
"95",1460737.45941862,57.319734210459,843.793234783101,30
"96",1459804.06375535,63.4087043245445,933.395663268089,30
"97",1458769.12406678,70.3113308538549,1034.9396885683,30
"98",1457618.51026313,78.1803211666794,1150.6138036509,30
"99",1456336.01994653,87.1583588252255,1282.490316599,30
"100",1454903.08699272,97.40677542948,1432.93295381166,30
"101",1453298.11597022,109.139923379719,1604.97102249856,30
"102",1451496.62730185,122.549222010218,1801.48866836897,30
"103",1449471.48448103,137.836953361778,2025.14282081859,30
"104",1447191.01251471,155.322182696433,2280.47196632084,30
"105",1444619.8216137,175.264864661724,2571.19090101083,30
"106",1441718.09357213,197.98443164938,2901.72804156946,30
"107",1438440.60459952,223.885334492956,3277.48897261699,30
"108",1434737.42100784,253.315613218017,3703.18359167981,30
"109",1430551.99410465,286.753796111412,4185.4269031862,30
"110",1425822.68515285,324.625955306507,4729.30895179588,30
"111",1420480.19242111,367.516118636634,5342.49273174841,30
"112",1414450.69662257,415.823807013831,6029.49579853934,30
"113",1407651.16476078,470.25436525186,6799.53186178502,30
"114",1399993.14377373,531.316131880302,7658.02098705248,30
"115",1391383.4176297,599.559344450437,8609.72614402986,30
"116",1381723.20831242,675.612736968645,9660.20931728001,30
"117",1370907.5817475,760.140874606786,10815.6265649241,30
"118",1358829.63543949,853.659799079237,12077.9463080089,30
"119",1345382.44975712,956.559368543058,13447.1856823648,30
"120",1330461.15124958,1069.17684981757,14921.2985075403,30
"121",1313963.2756445,1191.99970081464,16497.8756050796,30
"122",1295793.37412192,1325.33841597967,18169.9015225838,30
"123",1275872.53606651,1469.03300556268,19920.838055404,30
"124",1254135.66136414,1623.19216347756,21736.8747023787,30
"125",1230543.11493058,1787.25357252422,23592.546433553,30
"126",1205080.72242176,1960.7627649485,25462.3925088217,30
"127",1177764.05048672,2143.41095821082,27316.6719350401,30
"128",1148635.13428309,2334.39957416676,29128.9162036266,30
"129",1117771.068931,2532.99345030204,30864.0653520955,30
"130",1085284.56158829,2738.12154696543,32486.5073427132,30
"131",1051314.63913582,2949.23268588622,33969.9224524683,30
"132",1016023.14752511,3165.33200422673,35291.4916107074,30
"133",979584.602792188,3386.12959563659,36438.5447329216,30
"134",942183.618696121,3610.64503783994,37400.9840960663,30
"135",904022.42231699,3837.86957230086,38161.1963791317,30
"136",865296.987649657,4066.94389594616,38725.4346673326,30
"137",826198.210853425,4297.17965996141,39098.7767962319,30
"138",786914.603324766,4527.63608524311,39283.6075286595,30
"139",747650.908409224,4757.09403639935,39263.6949155419,30
"140",708578.908200707,4985.06805384936,39072.0002085171,30
"141",669874.054347168,5210.59616537827,38704.8538535385,30
"142",631689.947310713,5432.87123167497,38184.1070364554,30
"143",594133.767681041,5651.46739589631,37556.1796296714,30
"144",557320.908327077,5864.99585102292,36812.859353964,30
"145",521348.676052643,6073.73204172964,35972.2322744346,30
"146",486313.205229608,6276.95980266154,35035.4708230352,30
"147",452306.417923826,6473.97720427607,34006.7873057816,30
"148",419411.487213027,6663.94271958486,32894.9307107993,30
"149",387718.217605372,6846.77994097824,31693.2696076546,30
"150",357287.200362696,7021.74231689227,30431.0172426765,30
"151",328178.46846959,7188.50224521584,29108.7318931058,30
"152",300440.304588406,7346.2488954515,27738.1638811835,30
"153",274107.660339239,7495.36858450616,26332.644249167,30
"154",249201.635546767,7635.64624242434,24906.0247924721,30
"155",225738.598069298,7766.47606565393,23463.0374774697,30
"156",203723.597388851,7887.95963511416,22015.0006804464,30
"157",183154.270590849,8000.04961502756,20569.3267980021,30
"158",164021.395752452,8102.6481113104,19132.874838397,30
