,Substrate_series,Enzyme_series,Decayrates_series,Enz_rate
0.0,0.0,0.0,0.0,0.0003
1.0,4.756363636363639e-06,1.98181818181818e-05,0.0,0.0003
2.0,1.3832310142718e-05,3.78783292132681e-05,1.9308256278986298e-08,0.0003
3.0,2.6829679033661897e-05,5.44142311435132e-05,8.066055854898991e-08,0.0003
4.0,4.3384819005942204e-05,6.96212899230472e-05,2.00160492026394e-07,0.0003
5.0,6.31287171575038e-05,8.351047814560759e-05,3.8820158439956204e-07,0.0003
6.0,8.576030911772769e-05,9.63881151206865e-05,6.520223693630521e-07,0.0003
7.0,0.00011100414384978101,0.000108375396101466,9.96138431987683e-07,0.0003
8.0,0.00013860827229621002,0.000119578101205832,1.42300059586256e-06,0.0003
9.0,0.00016834237207581396,0.000130089379932015,1.93355682530325e-06,0.0003
10.0,0.000199996062336826,0.00013999195421583602,2.52769237602488e-06,0.0003
11.0,0.00023337737590956297,0.00014935988507079102,3.2045764975291804e-06,0.0003
12.0,0.00026831136480682404,0.000158260007790205,3.96293686410363e-06,0.0003
13.0,0.00030463882125357305,0.000166753112877784,4.80127783709532e-06,0.0003
14.0,0.000342215100685098,0.000174894930274684,5.71805498471929e-06,0.0003
15.0,0.00038086801683651696,0.000182543213052576,6.7046914755588105e-06,0.0003
16.0,0.00042046665451088503,0.00018987237117464297,7.761950829809609e-06,0.0003
17.0,0.00046089447269544897,0.000196936913810538,8.8881534689553e-06,0.0003
18.0,0.000502048056638107,0.000203787613841421,1.00820763930673e-05,0.0003
19.0,0.0005438359945731191,0.00021047225446991203,1.1343024079097999e-05,0.0003
20.0,0.000586177865866007,0.000217036289043169,1.26708895007142e-05,0.0003
21.0,0.000629003329437466,0.000223523436510432,1.4066209548358099e-05,0.0003
22.0,0.000672251302972537,0.00022997623107062003,1.55302184984403e-05,0.0003
23.0,0.000715869224743112,0.000236436541867445,1.7064902760896204e-05,0.0003
24.0,0.000759785412750067,0.000242796852531357,1.8661573580742e-05,0.0003
25.0,0.000803964478944188,0.000249251141827631,2.0333570197863297e-05,0.0003
26.0,0.000848377564394128,0.00025584177658389596,2.20856232092537e-05,0.0003
27.0,0.0008930008746067539,0.00026260653450331604,2.3922935488620497e-05,0.0003
28.0,0.0009378150348022981,0.000269582985627452,2.58514832615583e-05,0.0003
29.0,0.000982804793813032,0.000276810643833404,2.78782341620672e-05,0.0003
30.0,0.00102795875382554,0.00028433142125020597,3.0011255413801696e-05,0.0003
31.0,0.00107326912386881,0.00029219013391169603,3.22598407241993e-05,0.0003
32.0,0.0011187314949244302,0.000300435070580471,3.46346596487972e-05,0.0003
33.0,0.00116434463446942,0.000309118638826792,3.7147933905481e-05,0.0003
34.0,0.0012101102981453,0.00031829810516260297,3.98136460320832e-05,0.0003
35.0,0.00125603305606547,0.000328036449452873,4.26477869330765e-05,0.0003
36.0,0.00130212013100722,0.00033840335813556497,4.56686503140255e-05,0.0003
37.0,0.0013483505530138499,0.000349244224304775,4.8864649374464505e-05,0.0003
38.0,0.0013947386736972102,0.00036087569539237403,5.22886600740594e-05,0.0003
39.0,0.0014413007970815598,0.00037339432489524594,5.59682689676572e-05,0.0003
40.0,0.0014880550549138697,0.000386909330426706,5.993517591112929e-05,0.0003
41.0,0.00153502126786219,0.00040154487694726,6.42259247747305e-05,0.0003
42.0,0.0015822207850649701,0.00041744282307274805,6.888278843508341e-05,0.0003
43.0,0.0016296762923141098,0.000434766041904874,7.39548456504391e-05,0.0003
44.0,0.00167741157632214,0.000453702458048191,7.949929770058991e-05,0.0003
45.0,0.0017254512288296003,0.00047446998191449295,8.55830860976332e-05,0.0003
46.0,0.0017738202694778198,0.000497322574173373,9.22848902994057e-05,0.0003
47.0,0.0018225436600464804,0.000522557741530511,9.969760761825079e-05,0.0003
48.0,0.0018741146760563499,0.000547196226928203,0.00010368290198877199,0.0003
49.0,0.00192878203964393,0.0005723595367547011,0.000107508602803613,0.0003
50.0,0.001986425637831,0.0005980190212810481,0.000111645256996493,0.0003
51.0,0.0020469689092234198,0.00062496960971828,0.000116284265421966,0.0003
52.0,0.0021102912850353302,0.0006533273488924481,0.00012151904429896201,0.0003
53.0,0.00217628491486558,0.0006834587876724301,0.000127447422974465,0.0003
54.0,0.00224489542268295,0.000715934696531491,0.00013417796515524498,0.0003
55.0,0.00231607360359165,0.000751143799937608,0.000141825230399225,0.0003
56.0,0.00239273241756489,0.0007849097348770651,0.00014523537911644097,0.0003
57.0,0.0024750041244577304,0.000819924096330838,0.000148863099094522,0.0003
58.0,0.00256272841015768,0.0008564013167232469,0.000153155639407719,0.0003
59.0,0.0026558027329234802,0.000895025417211854,0.000158251310574554,0.0003
60.0,0.00275413938530187,0.000936265689761143,0.00016427724711357502,0.0003
61.0,0.00285766677422046,0.0009806307460672999,0.000171371187178834,0.0003
