,Substrate_series,Enzyme_series,Decayrates_series,Enz_rate
0.0,48.6429,0.0,0.0,0.0003
1.0,48.6428615702301,3.96363636363636e-06,3.87500180045531e-05,0.0003
2.0,48.64278812093939,7.57566584265362e-06,7.40613680499842e-05,0.0003
3.0,48.6426826104702,1.08828462287027e-05,0.00010638972315041999,0.0003
4.0,48.642547619292,1.3924257984609398e-05,0.000136116104714437,0.0003
5.0,48.6423857072934,1.67020956291215e-05,0.00016326126520873897,0.0003
6.0,48.6421988408927,1.92776230241373e-05,0.000188423620695645,0.0003
7.0,48.641988751863295,2.16750792202932e-05,0.00021183977130049398,0.0003
8.0,48.6417569671137,2.3915620241166302e-05,0.000233716289211733,0.0003
9.0,48.641504833100704,2.60178759864031e-05,0.00025423512980349,0.0003
10.0,48.6412335359964,2.79983908431672e-05,0.000273557913486004,0.0003
11.0,48.6409441184494,2.9871977014158103e-05,0.00029182935987298597,0.0003
12.0,48.6406374935786,3.1652001558041e-05,0.00030918007807232496,0.0003
13.0,48.640314456689794,3.33506225755568e-05,0.00032572886290569797,0.0003
14.0,48.6399756950943,3.4978986054936795e-05,0.000341584608810194,0.0003
15.0,48.6396221715463,3.6508642610515205e-05,0.00035646957747930406,0.0003
16.0,48.6392545108285,3.7974474234928704e-05,0.000370724557141877,0.0003
17.0,48.6388732320994,3.93873827621075e-05,0.000384456051891211,0.0003
18.0,48.6384787561759,4.07575227682842e-05,0.000397763222813502,0.0003
19.0,48.638071411374504,4.20944508939825e-05,0.000410739341473408,0.0003
20.0,48.6376514380781,4.3407257808633795e-05,0.00042347307381251096,0.0003
21.0,48.6372189921561,4.47046873020863e-05,0.00043604963800927994,0.0003
22.0,48.636774147324104,4.59952462141239e-05,0.00044855187231057804,0.0003
23.0,48.636316896504,4.7287308373489e-05,0.0004610612435732031,0.0003
24.0,48.635847440744705,4.85593705062714e-05,0.0004733678905988611,0.0003
25.0,48.6353656061866,4.98502283655262e-05,0.000485849846164753,0.0003
26.0,48.6348711374812,5.11683553167791e-05,0.000498589277905547,0.0003
27.0,48.6343637067619,5.25213069006632e-05,0.000511659308659922,0.0003
28.0,48.633842914145,5.3916597125490394e-05,0.00052513255535981,0.0003
29.0,48.633308284083704,5.536212876668079e-05,0.000539085311793155,0.0003
30.0,48.6327592608577,5.68662842500411e-05,0.0005535984195677139,0.0003
31.0,48.632195203102896,5.84380267823392e-05,0.0005687582360798959,0.0003
32.0,48.6316153772627,6.0087014116094296e-05,0.000584657722154816,0.0003
33.0,48.6310189498154,6.18237277653585e-05,0.000601397676071914,0.0003
34.0,48.6304049781005,6.36596210325205e-05,0.000619088145805746,0.0003
35.0,48.6297723995309,6.56072898905747e-05,0.0006378500577530349,0.0003
36.0,48.6291200189276,6.768067162711291e-05,0.0006578171083229831,0.0003
37.0,48.6284469410898,6.984884486095511e-05,0.000678686819709605,0.0003
38.0,48.6277516625452,7.21751390784749e-05,0.000701072532499063,0.0003
39.0,48.6270324965497,7.46788649790493e-05,0.000725159045470232,0.0003
40.0,48.626287549196604,7.73818660853411e-05,0.0007511552477075209,0.0003
41.0,48.625514691232,8.030897538945191e-05,0.000779298447612062,0.0003
42.0,48.6247115247113,8.34885646145495e-05,0.0008098595750446791,0.0003
43.0,48.6238753434231,8.69532083809748e-05,0.000843149465597658,0.0003
44.0,48.62300308574479,9.074049160963821e-05,0.0008795264922810951,0.0003
45.0,48.622091278257294,9.48939963828986e-05,0.0009194058832321689,0.0003
46.0,48.6211359680159,9.94645148346746e-05,0.0009632711600893231,0.0003
47.0,48.62013264081779,0.00010451154830610201,0.00101168825815582,0.0003
48.0,48.619082144816105,0.000109439245385641,0.00105925013501618,0.0003
49.0,48.617983466548395,0.00011447190735094,0.0011078339199676799,0.0003
50.0,48.6168356960731,0.00011960380425621002,0.00115733522918437,0.0003
51.0,48.6156364046468,0.00012499392194365602,0.0012092855215099499,0.0003
52.0,48.6143829526025,0.00013066546977848998,0.00126389747800879,0.0003
53.0,48.6130720054992,0.00013669175753448602,0.00132187166256356,0.0003
54.0,48.611699140807495,0.00014318693930629798,0.0013843052307323503,0.0003
